name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;177;0;200;3081;1031;3081;1008;0
header;169;137;169;174;1818;174;1818;137
A;970;205;970;234;995;234;995;205
B;978;876;978;903;998;903;998;876
B;577;1077;577;1097;592;1097;592;1077
C;982;1545;982;1575;1003;1575;1003;1545
B;785;1765;785;1783;800;1783;800;1765
A;568;2030;568;2030;568;2030;568;2030
A;309;2158;309;2161;312;2161;312;2158
A;636;2204;636;2204;637;2204;637;2204
D;986;2211;986;2239;1011;2239;1011;2211
A;212;2483;212;2485;214;2485;214;2483
A;783;2984;783;2987;786;2987;786;2984
A;624;2987;624;2990;627;2990;627;2987
